id,age,educate,income,vote,white
1,60,14.0,3.3458,1,1
2,51,10.0,1.8561,0,1
3,24,12.0,0.6304,0,1
4,38,8.0,3.4183,1,1
5,25,12.0,2.7852,1,1
6,67,12.0,2.3866,1,1
7,40,12.0,4.2857,0,1
8,56,10.0,9.3205,1,1
9,32,12.0,3.8797,1,1
10,75,16.0,2.7031,1,1
11,46,15.0,11.2307,1,1
12,52,12.0,8.6696,1,1
13,22,12.0,1.7443,0,1
14,60,12.0,0.2253,0,1
15,24,14.0,4.3348,1,1
16,30,10.0,0.7953,1,1
17,46,12.0,2.9072,1,1
18,69,9.0,1.1893,1,1
19,60,12.0,1.1277,1,0
20,34,12.0,0.5523,1,1
21,76,14.0,0.7294,1,1
22,29,12.0,4.3348,1,1
23,49,13.0,7.7751,1,1
24,29,14.0,3.1356,0,1
25,47,16.0,5.2331,1,1
26,39,16.0,10.0376,1,1
27,58,8.0,4.6408,1,1
28,44,12.0,3.7972,1,1
29,22,8.0,0.2071,0,1
30,31,12.0,11.2307,1,1
31,74,12.0,0.8236,1,1
32,40,12.0,4.4578,1,1
33,27,12.0,3.58,1,0
34,65,8.0,2.917,1,1
35,70,5.0,4.0702,1,0
36,34,12.0,3.3834,1,1
37,54,12.0,4.9624,1,1
38,23,7.0,3.2949,0,1
39,84,8.0,0.7294,0,1
40,37,16.0,5.9111,1,1
41,67,14.0,1.838,1,1
42,33,12.0,1.7443,1,0
43,22,12.0,3.7972,0,1
44,57,12.0,4.9624,1,1
45,26,11.0,4.669,1,1
46,23,12.0,3.3834,1,1
47,79,10.0,1.864,1,1
48,53,8.0,0.7953,1,1
49,25,12.0,5.8684,0,1
50,38,9.0,0.6765,0,0
51,68,8.0,2.7068,1,0
52,28,16.0,3.4183,1,1
53,43,15.0,2.8311,1,1
54,80,12.0,0.1727,0,1
55,31,12.0,2.3866,0,1
56,29,12.0,3.1676,1,1
57,37,13.0,4.3754,1,1
58,68,14.0,1.8429,0,1
59,50,12.0,13.3041,1,1
60,50,14.0,7.8949,0,1
61,37,13.0,0.6304,0,1
62,59,12.0,3.4183,1,1
63,35,16.0,3.58,1,1
64,35,15.0,7.0036,0,1
65,49,8.0,2.4811,1,1
66,44,16.0,9.3205,1,0
67,77,12.0,3.7435,1,1
68,22,10.0,1.4498,0,1
69,80,14.0,0.5813,1,1
70,48,11.0,7.0036,1,1
71,24,15.0,2.7722,1,1
72,42,16.0,7.5945,1,1
73,67,19.0,6.0903,1,1
74,42,10.0,1.2659,0,0
75,54,10.0,4.6408,1,1
76,45,12.0,5.2331,1,1
77,57,9.0,1.1277,1,1
78,46,12.0,0.4607,0,0
79,58,12.0,3.7972,1,1
80,76,4.0,2.5196,0,1
81,28,16.0,0.1936,1,1
82,41,10.0,5.2331,1,1
83,83,8.0,1.3131,0,1
84,47,12.0,5.2331,1,0
85,81,12.0,1.4498,1,1
86,59,8.0,3.3102,1,1
87,20,16.0,1.2094,1,0
88,45,8.0,1.8561,1,1
89,76,6.0,0.5813,0,1
90,53,9.0,4.9624,1,1
91,40,16.0,5.2331,1,0
92,38,12.0,4.6408,1,1
93,30,15.0,7.7751,1,1
94,29,19.0,2.522,1,1
95,72,12.0,0.4607,1,1
96,78,6.0,0.7568,1,1
97,65,13.0,3.7042,1,1
98,31,12.0,3.3558,1,1
99,21,12.0,4.8901,1,1
100,50,12.0,4.6408,1,1
101,25,12.0,4.4876,1,1
102,71,11.0,0.7294,1,0
103,49,14.0,7.7751,1,1
104,47,9.0,3.3458,1,1
105,37,13.0,2.2706,1,0
106,31,16.0,6.274,1,0
107,54,12.0,4.0702,1,1
108,40,16.0,6.7838,1,1
109,29,12.0,3.4183,1,1
110,42,12.0,7.0036,1,1
111,67,16.0,5.9469,1,1
112,69,12.0,4.2313,1,1
113,54,12.0,2.917,1,1
114,63,8.0,1.3566,1,1
115,45,8.0,8.7517,1,1
116,38,12.0,6.9491,1,1
117,64,10.0,4.3754,1,1
118,45,12.0,2.917,1,1
119,40,11.0,4.8901,0,1
120,27,14.0,3.58,1,1
121,31,11.0,6.3304,1,1
122,25,15.0,3.8606,1,1
123,35,12.0,2.5545,1,1
124,21,12.0,4.0702,1,1
125,55,12.0,8.3565,1,1
126,48,10.0,2.917,1,1
127,41,15.0,4.4876,1,1
128,43,6.0,1.4055,1,1
129,56,12.0,5.8684,1,1
130,44,12.0,5.8684,1,1
131,24,12.0,2.7722,0,1
132,58,6.0,0.6911,1,0
133,48,6.0,1.9045,1,1
134,35,12.0,5.9469,1,1
135,37,16.0,3.9394,0,1
136,31,13.0,5.3986,1,1
137,27,9.0,2.2092,0,1
138,28,13.0,10.0376,1,1
139,62,10.0,2.1885,0,1
140,66,12.0,2.7031,1,1
141,23,12.0,4.0006,0,1
142,44,19.0,11.8939,1,1
143,31,12.0,1.261,1,1
144,32,8.0,2.9072,1,1
145,23,12.0,2.1279,1,1
146,29,12.0,3.4183,0,0
147,59,12.0,2.5196,1,1
148,35,15.0,6.5589,1,1
149,38,5.0,1.4498,1,1
150,95,14.0,0.7594,1,1
151,22,12.0,0.253,0,0
152,48,10.0,1.4974,0,1
153,29,12.0,2.5196,1,1
154,62,8.0,2.9072,0,1
155,26,16.0,5.19,1,0
156,46,19.0,4.9624,1,1
157,36,12.0,2.7068,1,1
158,35,8.0,1.4055,1,1
159,40,15.0,13.6702,1,1
160,55,14.0,5.9111,1,1
161,27,12.0,1.8127,1,0
162,53,10.0,3.58,1,1
163,72,14.0,3.2949,1,1
164,38,12.0,3.46,0,1
165,83,8.0,0.7294,1,1
166,26,6.0,2.2788,1,1
167,30,12.0,4.0702,0,1
168,45,13.0,3.3102,1,1
169,27,14.0,6.6992,1,1
170,29,12.0,4.3348,0,1
171,27,12.0,2.8997,1,1
172,55,12.0,2.3866,1,1
173,27,12.0,1.8429,1,1
174,37,19.0,6.3352,1,1
175,87,12.0,0.6911,1,0
176,64,5.0,1.7723,1,1
177,79,7.0,1.838,1,1
178,60,12.0,2.5196,1,1
179,39,19.0,11.8939,0,1
180,64,14.0,4.6493,1,1
181,36,14.0,7.7751,1,1
182,35,12.0,3.3834,1,1
183,27,16.0,4.0702,1,1
184,28,14.0,4.0702,1,1
185,22,12.0,2.8311,0,1
186,60,12.0,4.4876,1,1
187,23,14.0,2.2706,0,1
188,66,8.0,0.2917,0,1
189,26,17.0,6.274,1,1
190,17,14.0,6.7838,1,1
191,51,19.0,8.4934,1,1
192,31,14.0,4.4578,0,1
193,74,9.0,1.0809,1,1
194,43,12.0,6.0903,1,1
195,32,19.0,7.5945,1,1
196,44,16.0,8.7517,1,1
197,26,14.0,5.2331,1,1
198,21,12.0,2.4868,1,1
199,26,15.0,5.19,0,1
200,51,12.0,5.8684,1,1
201,77,16.0,0.1544,1,0
202,48,12.0,4.2857,1,1
203,35,19.0,3.8797,1,1
204,81,12.0,1.3898,0,1
205,33,14.0,0.9457,0,1
206,64,12.0,4.3195,1,1
207,25,12.0,8.7517,1,1
208,31,14.0,5.8684,0,1
209,71,10.0,2.7031,1,0
210,32,9.0,1.2659,1,1
211,23,16.0,0.5523,0,0
212,24,12.0,11.6294,1,1
213,53,12.0,2.4811,1,1
214,39,12.0,2.8311,1,0
215,60,8.0,2.5196,0,1
216,42,13.0,1.2094,0,1
217,49,19.0,4.3195,1,1
218,26,12.0,3.8797,1,0
219,49,14.0,3.7435,1,1
220,30,19.0,4.8954,1,1
221,22,12.0,2.1319,0,1
222,29,12.0,3.4183,1,1
223,30,19.0,2.7068,1,1
224,23,11.0,1.0212,1,1
225,30,12.0,1.726,0,1
226,41,19.0,3.2449,1,1
227,59,12.0,4.6408,1,1
228,62,17.0,7.7751,1,1
229,24,9.0,3.7042,0,1
230,29,19.0,2.1885,1,1
231,34,6.0,1.7723,1,1
232,41,14.0,4.4876,1,1
233,69,12.0,2.4189,1,1
234,21,12.0,3.7972,1,1
235,39,16.0,11.6294,1,1
236,66,8.0,0.9457,1,1
237,84,5.0,0.9214,0,1
238,30,12.0,2.7722,0,1
239,25,15.0,0.1544,0,1
240,68,14.0,2.8311,1,1
241,26,19.0,3.0639999999999996,1,1
242,25,12.0,4.0702,1,0
243,71,10.0,0.8236,1,0
244,80,8.0,1.1839,1,1
245,76,8.0,0.253,1,1
246,28,16.0,2.7852,1,1
247,33,14.0,5.6622,1,1
248,69,8.0,2.7722,1,1
249,58,12.0,2.7031,1,1
250,23,16.0,1.3566,1,1
251,23,12.0,2.522,1,1
252,89,19.0,5.6622,1,1
253,71,7.0,1.0809,0,1
254,40,11.0,0.5523,1,1
255,43,12.0,2.5196,1,1
256,27,16.0,4.8954,1,1
257,22,12.0,1.8967,0,1
258,60,8.0,2.917,1,1
259,42,16.0,13.0045,1,1
260,56,12.0,3.7042,1,1
261,33,12.0,7.4874,1,0
262,32,12.0,2.4189,1,1
263,41,14.0,7.8949,1,1
264,24,16.0,3.4183,1,1
265,54,16.0,2.9072,1,1
266,23,12.0,0.7594,0,0
267,33,12.0,6.274,1,1
268,57,11.0,0.6177,1,1
269,31,14.0,2.1309,1,1
270,24,12.0,6.7838,1,1
271,60,19.0,8.7545,1,1
272,63,10.0,3.0639999999999996,1,1
273,22,10.0,0.1727,0,1
274,64,8.0,1.3131,0,1
275,33,19.0,5.2331,1,1
276,36,16.0,0.9457,1,1
277,52,12.0,4.669,1,1
278,50,14.0,4.3195,1,1
279,62,7.0,0.6765,0,1
280,46,16.0,11.2307,1,1
281,50,12.0,6.274,0,1
282,36,12.0,1.4498,0,1
283,30,16.0,11.8939,1,1
284,63,10.0,2.7031,1,1
285,43,7.0,2.3866,1,1
286,49,8.0,2.917,1,1
287,52,8.0,3.3834,1,0
288,45,12.0,7.8949,1,1
289,41,13.0,4.669,1,0
290,71,11.0,0.978,1,1
291,70,10.0,1.6049,1,1
292,52,8.0,6.0903,1,1
293,30,16.0,2.2788,0,1
294,83,8.0,0.7953,1,1
295,21,12.0,8.722000000000001,1,1
296,45,16.0,6.3304,1,1
297,63,10.0,0.2253,1,0
298,39,11.0,3.4183,1,1
299,33,12.0,4.4578,1,1
300,65,8.0,1.3566,1,1
301,33,16.0,5.1229,1,1
302,73,4.0,0.2649,1,1
303,39,12.0,7.8949,1,1
304,29,16.0,2.8311,1,1
305,55,13.0,4.2313,1,1
306,33,17.0,4.3348,1,1
307,25,12.0,0.9689,1,1
308,60,8.0,5.2331,1,1
309,38,14.0,6.9491,0,1
310,39,12.0,4.2857,1,1
311,36,16.0,2.4193,0,1
312,62,9.0,2.4868,1,1
313,35,16.0,4.4312,1,1
314,68,12.0,1.1893,1,1
315,77,3.0,2.2788,1,1
316,82,12.0,0.2649,1,1
317,34,10.0,4.0702,1,1
318,26,16.0,2.2706,1,1
319,27,12.0,4.4312,0,1
320,40,14.0,5.9111,1,1
321,29,12.0,4.0702,1,1
322,28,17.0,4.8954,1,1
323,32,16.0,11.6294,1,1
324,75,5.0,1.8967,1,1
325,50,12.0,1.7723,1,1
326,74,8.0,1.726,1,1
327,70,7.0,0.253,1,0
328,36,12.0,1.7723,1,0
329,44,19.0,4.3348,1,0
330,41,17.0,3.7972,1,1
331,62,6.0,2.917,1,1
332,36,12.0,5.19,1,1
333,32,14.0,4.8954,0,1
334,31,16.0,4.8954,1,0
335,39,14.0,4.4876,1,1
336,79,5.0,0.9457,0,1
337,51,8.0,3.1676,0,1
338,23,12.0,6.7838,1,1
339,25,10.0,3.4183,0,1
340,60,12.0,3.7435,1,1
341,67,14.0,7.5945,1,1
342,25,12.0,1.1046,0,0
343,37,16.0,6.9491,1,1
344,54,8.0,2.7068,0,0
345,21,8.0,1.3566,1,1
346,19,14.0,8.722000000000001,1,1
347,65,8.0,1.3131,0,0
348,44,11.0,5.2331,1,1
349,38,12.0,6.274,1,0
350,51,12.0,6.3304,1,1
351,30,12.0,3.7042,0,1
352,18,12.0,7.0036,1,1
353,48,10.0,7.8949,1,0
354,44,16.0,3.1676,1,0
355,53,12.0,5.19,0,1
356,84,12.0,1.655,1,1
357,60,9.0,3.6476,0,1
358,48,12.0,5.9111,0,1
359,23,16.0,2.9161,1,1
360,41,15.0,9.3205,1,1
361,52,12.0,4.6408,1,1
362,27,19.0,4.9624,1,1
363,29,16.0,11.2307,1,1
364,26,14.0,4.3195,1,1
365,68,3.0,1.0212,1,1
366,36,10.0,2.5196,0,1
367,60,8.0,1.3566,0,1
368,84,7.0,0.2364,1,1
369,67,19.0,11.8939,1,1
370,72,10.0,3.58,1,1
371,53,8.0,0.2071,1,0
372,60,12.0,3.3834,1,1
373,45,13.0,6.9491,1,1
374,66,12.0,6.7838,1,1
375,43,13.0,5.9111,1,1
376,37,12.0,2.917,1,1
377,67,8.0,0.9689,1,1
378,47,12.0,4.4312,1,1
379,92,12.0,0.1544,1,1
380,45,12.0,5.178,1,1
381,31,9.0,1.7723,0,1
382,21,13.0,2.8311,1,0
383,34,12.0,1.3246,1,1
384,38,19.0,4.8954,1,1
385,31,16.0,4.0702,1,0
386,38,12.0,4.4578,1,1
387,68,12.0,2.4193,1,0
388,59,5.0,0.2071,0,0
389,76,14.0,5.9469,1,1
390,51,12.0,6.0903,1,1
391,22,15.0,4.4876,1,0
392,52,14.0,4.4876,1,1
393,44,13.0,5.9469,1,1
394,31,14.0,1.261,0,1
395,73,12.0,2.2706,1,1
396,25,12.0,2.7722,1,1
397,37,19.0,11.8939,1,1
398,20,12.0,2.522,0,1
399,41,12.0,3.3458,0,1
400,61,11.0,2.7722,1,1
401,20,14.0,6.5589,1,1
402,53,12.0,1.5788,1,1
403,26,16.0,5.3986,1,1
404,24,13.0,2.0543,0,1
405,29,12.0,3.1676,1,1
406,42,9.0,1.3257,1,0
407,77,12.0,1.2868,1,1
408,29,12.0,4.4876,0,0
409,31,14.0,0.978,1,1
410,50,16.0,6.3304,1,1
411,57,14.0,4.4312,1,0
412,72,5.0,0.7594,1,0
413,54,17.0,10.0376,1,1
414,64,12.0,2.917,1,1
415,48,15.0,5.178,1,1
416,54,12.0,4.3348,0,1
417,46,13.0,4.0006,1,1
418,52,12.0,6.6298,1,1
419,29,7.0,1.4398,0,1
420,35,16.0,5.178,1,1
421,23,12.0,4.4312,1,1
422,26,12.0,1.3131,1,1
423,26,15.0,3.3458,1,1
424,23,10.0,1.4498,0,1
425,37,19.0,5.8684,1,1
426,61,12.0,3.3558,1,1
427,23,12.0,3.4183,1,1
428,37,12.0,3.9394,1,1
429,79,7.0,1.3131,0,1
430,32,12.0,5.6622,1,1
431,65,12.0,4.669,1,1
432,36,12.0,6.5589,1,1
433,29,14.0,8.3565,1,1
434,46,12.0,7.8949,1,1
435,24,11.0,1.6049,1,1
436,68,13.0,1.864,1,1
437,18,10.0,0.9457,0,0
438,31,10.0,2.4803,1,1
439,83,13.0,1.555,1,1
440,25,12.0,10.64,1,1
441,42,14.0,2.7031,1,0
442,27,12.0,1.3131,1,1
443,26,12.0,2.7852,1,1
444,21,12.0,2.7068,1,0
445,79,8.0,0.5813,1,1
446,45,12.0,8.6696,1,1
447,35,12.0,7.7751,1,1
448,30,16.0,6.274,1,1
449,56,10.0,1.1046,0,1
450,24,11.0,7.5945,1,0
451,44,14.0,13.0045,1,1
452,68,16.0,0.1544,1,0
453,57,15.0,4.8901,1,1
454,56,19.0,8.722000000000001,1,1
455,43,14.0,1.7443,1,1
456,65,12.0,1.7443,1,1
457,21,12.0,1.838,0,1
458,19,12.0,1.9703,1,1
459,36,12.0,3.3458,0,1
460,64,4.0,0.9457,0,0
461,29,10.0,1.1277,0,0
462,50,19.0,3.9394,0,1
463,63,12.0,1.261,1,1
464,74,19.0,3.1676,1,1
465,29,13.0,1.838,1,0
466,25,9.0,0.7953,1,1
467,26,16.0,6.3352,1,1
468,44,12.0,4.0702,0,1
469,27,12.0,2.5196,1,0
470,35,17.0,5.19,1,1
471,66,16.0,8.722000000000001,1,1
472,63,11.0,3.7042,0,0
473,29,0.5,2.9072,0,0
474,30,19.0,6.7838,1,1
475,37,12.0,3.6476,1,1
476,36,19.0,11.8939,0,0
477,28,14.0,2.522,1,1
478,30,12.0,1.726,0,1
479,51,17.0,7.0281,1,1
480,51,14.0,8.7545,1,1
481,41,9.0,4.0702,1,1
482,36,9.0,4.4578,1,1
483,50,8.0,3.4183,1,1
484,62,16.0,2.0299,1,1
485,19,14.0,3.6476,0,1
486,67,7.0,1.3257,1,1
487,39,12.0,3.3834,1,1
488,26,16.0,5.8684,1,1
489,65,17.0,11.2351,1,1
490,35,13.0,4.3348,1,1
491,26,12.0,4.669,1,1
492,45,12.0,4.4876,1,1
493,21,14.0,1.864,0,1
494,72,8.0,3.7042,1,1
495,21,12.0,1.6702,0,1
496,47,12.0,7.0281,1,1
497,46,16.0,7.7751,1,0
498,19,12.0,0.6304,1,1
499,46,10.0,1.3566,1,0
500,60,14.0,1.8429,1,1
501,83,4.0,0.6765,0,1
502,77,16.0,3.3558,1,1
503,64,8.0,6.3304,1,1
504,30,12.0,1.5788,1,0
505,40,16.0,3.3458,1,1
506,74,14.0,0.7594,1,1
507,70,14.0,2.7068,1,1
508,60,5.0,1.655,1,1
509,65,12.0,2.8311,1,1
510,34,14.0,2.917,1,0
511,27,12.0,5.3986,1,1
512,62,0.0,1.8561,1,1
513,29,14.0,4.8954,1,1
514,29,16.0,6.0903,1,1
515,42,12.0,3.58,1,1
516,40,19.0,5.2331,0,1
517,46,17.0,10.64,1,1
518,28,8.0,1.1893,0,1
519,18,12.0,0.1936,0,1
520,73,8.0,1.1277,1,1
521,55,12.0,3.58,1,1
522,66,3.0,1.3257,1,1
523,27,14.0,5.1229,1,1
524,29,16.0,5.178,1,1
525,47,12.0,2.3866,1,1
526,34,12.0,1.655,1,1
527,48,12.0,4.4578,1,1
528,21,12.0,6.3352,0,0
529,49,12.0,1.8127,1,1
530,39,12.0,6.3352,1,0
531,23,12.0,4.0702,1,1
532,51,10.0,3.3834,0,1
533,43,16.0,8.3565,1,1
534,31,8.0,2.4811,0,1
535,31,12.0,2.2706,0,1
536,36,16.0,5.6622,1,1
537,36,10.0,2.2788,1,1
538,41,12.0,4.3348,1,1
539,73,8.0,2.8997,1,1
540,63,12.0,0.9689,1,1
541,35,16.0,5.3986,0,0
542,40,16.0,6.274,1,1
543,52,19.0,13.3041,1,1
544,26,12.0,7.0281,0,1
545,33,19.0,2.7068,1,0
546,34,12.0,7.8949,1,1
547,76,7.0,1.2659,0,0
548,22,16.0,4.4312,1,1
549,46,7.0,0.5523,1,0
550,22,12.0,4.0006,0,1
551,57,12.0,6.7838,1,1
552,48,16.0,2.1309,1,1
553,41,14.0,5.4713,1,1
554,30,12.0,5.6622,0,1
555,37,10.0,2.9072,1,1
556,72,8.0,3.3834,1,1
557,56,8.0,1.2659,1,1
558,28,8.0,0.5813,0,0
559,43,8.0,3.58,1,1
560,65,14.0,2.1885,1,1
561,53,8.0,3.4183,1,0
562,20,13.0,5.1229,1,1
563,26,6.0,1.7443,0,1
564,73,16.0,6.6992,1,1
565,33,10.0,4.669,0,1
566,40,19.0,4.4876,1,1
567,65,8.0,0.5813,0,1
568,48,8.0,6.0903,1,1
569,33,10.0,2.9161,1,1
570,74,7.0,2.3866,1,1
571,24,11.0,2.917,0,1
572,21,14.0,6.7838,1,1
573,35,12.0,4.8901,0,1
574,26,8.0,2.1309,1,1
575,28,13.0,1.8967,0,1
576,33,13.0,1.3898,1,1
577,24,14.0,5.2331,1,1
578,49,19.0,4.3754,1,1
579,71,12.0,4.0702,1,1
580,41,11.0,2.5196,0,1
581,88,8.0,2.2856,1,1
582,83,3.0,4.0702,0,0
583,46,12.0,2.917,1,1
584,37,11.0,6.6298,1,1
585,37,8.0,1.6472,0,1
586,42,12.0,5.1229,0,1
587,72,8.0,1.7443,1,1
588,37,12.0,5.1229,0,1
589,35,4.0,3.4183,1,0
590,75,12.0,1.8429,1,1
591,63,12.0,3.2949,1,1
592,32,11.0,0.2364,0,0
593,54,3.0,1.8561,1,0
594,47,16.0,6.7838,1,1
595,37,12.0,8.3565,0,0
596,48,12.0,0.6304,0,1
597,34,10.0,2.1309,0,1
598,23,15.0,1.3131,0,1
599,48,12.0,3.7042,1,1
600,52,14.0,7.5945,1,1
601,18,12.0,4.669,0,1
602,38,12.0,4.6408,1,1
603,29,16.0,3.7435,1,1
604,25,16.0,5.1229,1,1
605,55,14.0,6.7838,1,1
606,78,1.0,1.1046,0,1
607,78,17.0,5.4713,1,0
608,30,16.0,12.4066,1,1
609,68,8.0,1.7443,1,1
610,38,12.0,2.2706,1,1
611,48,12.0,6.7838,1,1
612,66,5.0,0.5523,0,0
613,36,13.0,7.5945,1,1
614,24,16.0,1.5879,1,1
615,43,8.0,3.3834,1,1
616,49,12.0,3.58,1,1
617,82,12.0,1.0809,1,1
618,49,11.0,5.9469,1,1
619,22,12.0,1.0212,1,1
620,39,12.0,3.7972,1,1
621,63,11.0,1.7723,1,1
622,62,8.0,0.5523,1,1
623,41,12.0,2.8311,1,1
624,79,7.0,5.2331,0,1
625,79,8.0,0.7594,0,1
626,33,12.0,3.58,1,1
627,65,6.0,0.2649,0,0
628,32,16.0,7.0036,1,1
629,33,12.0,6.6992,1,1
630,29,16.0,7.7751,1,1
631,80,16.0,1.3898,1,1
632,36,12.0,6.7838,1,1
633,48,12.0,2.9161,1,1
634,25,12.0,2.522,1,1
635,33,14.0,6.5589,1,1
636,24,12.0,3.3834,1,1
637,59,8.0,1.4055,0,1
638,32,10.0,5.9469,1,1
639,24,11.0,5.4713,1,1
640,25,8.0,2.7852,0,0
641,47,12.0,3.7435,1,1
642,60,14.0,2.4189,1,1
643,38,8.0,1.3566,0,1
644,34,17.0,13.3041,1,0
645,46,19.0,8.3565,1,1
646,25,12.0,6.3304,1,1
647,67,5.0,0.2253,1,0
648,41,14.0,4.3195,1,1
649,31,12.0,4.9624,1,0
650,34,12.0,8.4934,1,0
651,24,12.0,1.4055,0,1
652,29,17.0,2.7722,0,1
653,40,12.0,1.3566,1,0
654,46,10.0,3.8606,0,1
655,23,16.0,4.8954,1,1
656,26,16.0,4.0702,1,1
657,55,14.0,5.6622,1,1
658,56,17.0,11.3918,1,1
659,21,12.0,0.9457,1,0
660,54,12.0,0.8284,1,1
661,42,12.0,4.4312,1,1
662,41,13.0,5.4713,1,1
663,31,12.0,3.7435,1,1
664,33,10.0,1.5788,1,0
665,27,15.0,2.0021,1,1
666,52,12.0,3.3834,1,1
667,75,14.0,3.7435,1,1
668,46,9.0,6.0903,1,1
669,21,12.0,4.0702,1,0
670,36,14.0,4.4578,1,1
671,37,13.0,6.9491,1,1
672,58,14.0,1.4398,1,1
673,53,16.0,7.0036,1,1
674,88,6.0,4.3754,0,1
675,35,10.0,2.7852,1,1
676,50,12.0,6.0903,1,1
677,25,12.0,5.9469,0,0
678,32,8.0,1.2868,1,0
679,72,12.0,7.5945,1,1
680,19,12.0,0.6304,1,1
681,68,8.0,0.6765,1,1
682,76,8.0,0.9457,0,1
683,58,7.0,3.3458,1,1
684,37,16.0,4.3754,1,1
685,40,12.0,11.8908,1,1
